Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
73,Jonathan Quick\quickjo01,35,LAK,22,22,11,9,2,58,566,508,.898,2.86,2,2.7,1219,10,.455,4,111,-5.85,0,0,0,0
74,Antti Raanta\raantan01,31,ARI,12,11,5,5,2,38,401,363,.905,3.36,0,2.2,679,6,.545,2,103,-1.06,0,0,0,0
75,Tuukka Rask\rasktu01,33,BOS,24,24,15,5,2,53,611,558,.913,2.28,2,4.0,1396,16,.667,5,94,3.29,0,2,2,0
76,James Reimer\reimeja01,32,CAR,22,21,15,5,2,59,627,568,.906,2.66,0,3.6,1331,10,.476,1,102,-1.23,0,0,0,0
77,Pekka Rinne\rinnepe01,38,NSH,24,21,10,12,1,62,664,602,.907,2.84,2,3.8,1310,12,.571,3,101,-0.83,0,1,1,0
78,David Rittich\rittida01,28,TOT,19,15,5,8,2,46,463,417,.901,2.86,1,2.4,966,7,.467,3,108,-3.34,0,0,0,0
79,Ilya Samsonov\samsoil01,23,WSH,19,18,13,4,1,49,499,450,.902,2.69,2,2.6,1093,7,.389,3,107,-3.03,0,1,1,0
80,Juuse Saros\sarosju01,25,NSH,36,35,21,11,1,78,1073,995,.927,2.28,3,8.6,2052,22,.629,5,79,20.86,0,0,0,2
81,Igor Shesterkin\shestig01,25,NYR,35,31,16,14,3,83,987,904,.916,2.62,2,6.7,1899,20,.645,2,91,7.93,0,0,0,0
82,Stuart Skinner\skinnst01,22,EDM,1,1,1,0,0,5,38,33,.868,5.03,0,0.1,60,0,.000,0,,,0,0,0,0
83,Mike Smith\smithmi01,38,EDM,32,30,21,6,2,71,921,850,.923,2.31,3,6.9,1847,19,.633,3,84,13.85,0,2,2,6
84,Ilya Sorokin\sorokil01,25,NYI,22,21,13,6,3,46,563,517,.918,2.17,3,4.0,1272,15,.714,3,89,5.87,0,0,0,0
85,Anthony Stolarz\stolaan01,27,ANA,8,7,4,3,0,17,230,213,.926,2.20,1,1.8,464,5,.714,1,80,4.19,0,1,1,0
86,Malcolm Subban\subbama01,27,CHI,16,14,6,8,1,47,471,424,.900,3.20,2,2.4,881,6,.429,4,108,-3.61,0,0,0,0
87,Jeremy Swayman\swaymje01,22,BOS,10,10,7,3,0,15,271,256,.945,1.50,2,2.7,602,9,.900,0,60,9.97,0,0,0,0
88,Cam Talbot\talboca01,33,MIN,33,33,19,8,5,86,1008,922,.915,2.63,2,6.7,1961,21,.636,2,93,6.87,0,0,0,0
89,Logan Thompson\thomplo01,23,VEG,1,0,0,0,0,0,2,2,1.000,0.00,0,0.0,8,0,,0,,,0,0,0,0
90,Dustin Tokarski\tokardu01,31,BUF,13,10,2,8,2,43,447,404,.904,3.54,0,2.4,729,5,.500,1,104,-1.82,0,1,1,0
91,Linus Ullmark\ullmali01,27,BUF,20,20,9,6,3,49,591,542,.917,2.63,0,4.1,1117,11,.550,0,90,5.45,0,0,0,0
92,Vitek Vanecek\vanecvi01,25,WSH,37,36,21,10,4,95,1031,936,.908,2.69,2,6.1,2115,18,.500,6,100,-0.01,0,0,0,0
93,Semyon Varlamov\varlasi01,32,NYI,36,35,19,11,4,72,1020,948,.929,2.04,7,8.4,2117,26,.743,4,77,21.97,0,1,1,2
94,Andrei Vasilevskiy\vasilan02,26,TBL,42,42,31,10,1,93,1237,1144,.925,2.21,5,9.6,2524,24,.571,0,82,20.96,0,4,4,0
95,Veini Vehvilainen\vehvive01,23,CBJ,1,0,0,0,0,1,4,3,.750,5.63,0,0.0,11,0,,0,,,0,0,0,0
96,Daniel Vladar\vladada01,23,BOS,5,5,2,2,1,17,149,132,.886,3.40,0,0.5,300,2,.400,1,,,0,0,0,0
97,Scott Wedgewood\wedgesc01,28,NJD,16,15,3,8,3,46,458,412,.900,3.11,2,2.3,888,5,.333,4,109,-3.80,0,0,0,0
98,Artyom Zagidulin\zagidar01,25,CGY,1,0,0,0,0,2,11,9,.818,4.25,0,0.0,28,0,,0,,,0,0,0,0
