Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
244,David Gove\goveda01,28,CAR,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,3,3:16
245,Mikhail Grabovski\grabomi01,23,MTL,C,3,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,5,0.0,40,13:18
246,Triston Grant\granttr01,22,PHI,LW,8,0,1,1,-1,10,0.0,0,0,0,0,1,0,0,3,0.0,36,4:32
247,Chris Gratton\grattch01,31,FLA,C,81,13,22,35,1,94,3.0,12,1,0,1,21,1,0,131,9.9,980,12:06
248,Josh Gratton\grattjo01,24,PHX,LW,52,1,1,2,-9,188,-0.6,1,0,0,0,1,0,0,29,3.4,307,5:54
249,Josh Green\greenjo01,29,VAN,C,57,2,5,7,0,25,-0.1,2,0,0,2,4,0,1,74,2.7,650,11:25
250,Mike Green\greenmi03,21,WSH,D,70,2,10,12,-10,36,1.3,2,0,0,0,4,6,0,68,2.9,1084,15:29
251,Travis Green\greentr01,36,TOT,C,31,1,1,2,4,27,-0.1,1,0,0,0,1,0,0,22,4.5,276,8:54
252,Andy Greene\greenan01,24,NJD,D,23,1,5,6,-1,6,1.2,0,1,0,0,4,1,0,23,4.3,328,14:15
253,Matt Greene\greenma01,23,EDM,D,78,1,9,10,-22,109,1.7,1,0,0,0,7,1,1,52,1.9,1373,17:36
254,Martin Grenier\grenima01,26,PHI,D,3,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,0,,14,4:40
255,Mike Grier\griermi01,32,SJS,RW,81,16,17,33,-5,43,2.7,11,2,3,1,16,1,0,125,12.8,1332,16:26
256,Nicklas Grossmann\grossni01,22,DAL,D,8,0,0,0,-1,4,0.1,0,0,0,0,0,0,0,8,0.0,103,12:49
257,Nate Guenin\guenina01,24,PHI,D,9,0,2,2,0,4,0.3,0,0,0,0,2,0,0,0,,78,8:40
258,Bill Guerin\gueribi01,36,TOT,RW,77,36,20,56,10,66,7.5,27,9,0,7,13,7,0,225,16.0,1309,17:00
259,Ben Guite\guitebe01,28,COL,RW,39,3,8,11,-4,16,0.4,2,0,1,1,7,0,1,63,4.8,479,12:17
260,Niklas Hagman\hagmani01,27,DAL,LW,82,17,12,29,3,34,3.2,14,2,1,2,9,3,0,152,11.2,1183,14:26
261,Ron Hainsey\hainsro01,25,CBJ,D,80,9,25,34,-19,69,5.5,2,7,0,0,9,16,0,136,6.6,1831,22:53
262,David Hale\haleda01,25,TOT,D,54,0,1,1,0,36,1.0,0,0,0,0,1,0,0,33,0.0,590,10:55
263,Adam Hall\hallad01,26,TOT,RW,72,6,11,17,-11,26,0.5,3,3,0,0,7,3,1,103,5.8,891,12:23
264,Jeff Halpern\halpeje01,30,DAL,C,76,8,17,25,-7,78,1.3,7,1,0,4,14,3,0,106,7.5,1277,16:48
265,Denis Hamel\hamelde01,29,TOT,LW,53,5,3,8,0,10,0.7,5,0,0,0,3,0,0,42,11.9,322,6:05
266,Dan Hamhuis\hamhuda01,24,NSH,D,81,6,14,20,8,66,4.7,6,0,0,1,14,0,0,84,7.1,1728,21:20
267,Jeff Hamilton\hamilje01,29,CHI,C,70,18,21,39,-4,22,4.3,15,3,0,4,10,11,0,138,13.0,905,12:56
268,Roman Hamrlik\hamrlro01,32,CGY,D,75,7,31,38,22,88,7.4,6,1,0,1,13,17,1,125,5.6,1865,24:52
269,Michal Handzus\handzmi01,29,CHI,C,8,3,5,8,4,6,1.0,2,1,0,0,2,3,0,9,33.3,168,20:59
270,Scott Hannan\hannasc01,28,SJS,D,79,4,20,24,1,38,5.6,3,0,1,1,15,5,0,79,5.1,1803,22:49
271,Jay Harrison\harrija01,24,TOR,D,5,0,0,0,-5,6,-0.4,0,0,0,0,0,0,0,3,0.0,42,8:22
272,Peter Harrold\harrope01,23,LAK,D,12,0,2,2,0,8,0.4,0,0,0,0,2,0,0,11,0.0,182,15:12
273,Mark Hartigan\hartima01,29,TOT,C,12,1,2,3,1,6,0.2,0,1,0,0,0,2,0,15,6.7,129,10:46
274,Scott Hartnell\hartnsc01,24,NSH,RW,64,22,17,39,19,96,5.0,12,10,0,2,15,1,1,150,14.7,1006,15:43
275,Derian Hatcher\hatchde01,34,PHI,D,82,3,6,9,-24,67,1.5,0,3,0,1,5,1,0,81,3.7,1941,23:40
276,Niclas Hävelid\havelni01,33,ATL,D,77,3,18,21,-2,52,3.7,2,1,0,1,10,7,1,82,3.7,1946,25:16
