,Player,Unique ID
245,Mike Green\greenmi03,246
246,Andy Greene\greenan01,247
247,Matt Greene\greenma01,248
248,Seth Griffith\griffse01,249
249,Mikhail Grigorenko\grigomi01,250
250,Eric Gryba\grybaer01,251
251,Radko Gudas\gudasra01,252
252,Erik Gudbranson\gudbrer01,253
253,Jake Guentzel\guentja01,254
254,Carl Gunnarsson\gunnaca01,255
255,Carl Hagelin\hagelca01,256
256,Ron Hainsey\hainsro01,257
257,Micheal Haley\haleymi01,258
258,Taylor Hall\hallta02,259
259,Dan Hamhuis\hamhuda01,260
260,Dougie Hamilton\hamildo01,261
261,Freddie Hamilton\hamilfr01,262
262,Travis Hamonic\hamontr01,263
263,Noah Hanifin\hanifno01,264
264,Markus Hannikainen\hannima01,265
265,Jannik Hansen\hanseja01,266
266,Martin Hanzal\hanzama01,267
267,Shane Harper\harpesh01,268
268,Scott Harrington\harrisc01,269
269,Ryan Hartman\hartmry01,270
270,Scott Hartnell\hartnsc01,271
271,Garnet Hathaway\hathaga01,272
272,Erik Haula\haulaer01,273
273,John Hayden\haydejo01,274
274,Jimmy Hayes\hayesji01,275
275,Kevin Hayes\hayeske01,276
276,Victor Hedman\hedmavi01,277
277,Darren Helm\helmda01,278
278,Ales Hemsky\hemskal01,279
279,Matt Hendricks\hendrma01,280
280,Adam Henrique\henriad01,281
281,Tomas Hertl\hertlto01,282
282,Thomas Hickey\hicketh01,283
283,Vinnie Hinostroza\hinosvi01,284
284,Niklas Hjalmarsson\hjalmni01,285
285,Joshua Ho-Sang\hosanjo01,286
286,Mike Hoffman\hoffmmi02,287
287,Nick Holden\holdeni01,288
288,Peter Holland\hollape01,289
289,Korbinian Holzer\holzeko01,290
290,Julius Honka\honkaju01,291
291,Patric Hornqvist\hornqpa01,292
292,Bo Horvat\horvabo01,293
293,Marián Hossa*\hossama01,294
294,Marek Hrivik\hrivima01,295
295,Jonathan Huberdeau\huberjo01,296
296,Jiri Hudler\hudleji01,297
297,Brad Hunt\huntbr01,298
298,Matt Hunwick\hunwima01,299
299,Ben Hutton\huttobe01,300
300,Zach Hyman\hymanza01,301
301,Jarome Iginla*\iginlja01,302
302,Matt Irwin\irwinma01,303
303,Jaromír Jágr\jagrja01,304
304,Calle Jarnkrok\jarnkca01,305
305,Dmitrij Jaskin\jaskidm01,306
306,Boone Jenner\jennebo01,307
307,Nick Jensen\jenseni02,308
308,Ryan Johansen\johanry01,309
309,Marcus Johansson\johanma03,310
310,Stephen Johns\johnsst03,311
311,Erik Johnson\johnser01,312
312,Jack Johnson\johnsja02,313
313,Tyler Johnson\johnsty01,314
314,Jussi Jokinen\jokinju01,315
315,Jyrki Jokipakka\jokipjy01,316
316,Seth Jones\jonesse01,317
317,Josh Jooris\joorijo01,318
318,Jacob Josefson\josefja01,319
319,Roman Josi\josiro01,320
320,Tomas Jurco\jurcoto01,321
321,Nazem Kadri\kadrina01,322
322,Sergey Kalinin\kalinse01,323
323,Steven Kampfer\kampfst01,324
324,Evander Kane\kaneev01,325
325,Patrick Kane\kanepa01,326
326,Erik Karlsson\karlser01,327
327,Melker Karlsson\karlsme01,328
328,William Karlsson\karlswi01,329
329,Ondrej Kase\kaseon01,330
330,Zack Kassian\kassiza01,331
331,Duncan Keith\keithdu01,332
332,Chris Kelly\kellych01,333
333,Adrian Kempe\kempead01,334
334,Michal Kempny\kempnmi01,335
335,Tanner Kero\kerota01,336
336,Ryan Kesler\keslery01,337
337,Phil Kessel\kesseph01,338
338,Jujhar Khaira\khairju01,339
339,Alex Killorn\killoal01,340
340,Jakub Kindl\kindlja01,341
341,Dwight King\kingdw01,342
342,Oscar Klefbom\klefbos01,343
343,Kevin Klein\kleinke01,344
344,John Klingberg\klingjo01,345
345,Slater Koekkoek\koekksl01,346
346,Mikko Koivu\koivumi01,347
347,Leo Komarov\komarle01,348
348,Travis Konecny\konectr01,349
349,Anze Kopitar\kopitan01,350
350,Lauri Korpikoski\korpila01,351
351,Chris Kreider\kreidch01,352
352,David Krejci\krejcda01,353
353,Niklas Kronwall\kronwni01,354
354,Torey Krug\krugto01,355
355,Marcus Kruger\krugema01,356
356,Nikita Kucherov\kucheni01,357
357,Tom Kuhnhackl\kuhnhto01,358
358,Brett Kulak\kulakbr01,359
359,Nikolai Kulemin\kulemni01,360
360,Dmitry Kulikov\kulikdm01,361
361,Chris Kunitz\kunitch01,362
362,Evgeny Kuznetsov\kuzneev01,363
363,Kevin Labanc\labanke01,364
364,Joseph Labate\labatjo01,365
365,Andrew Ladd\laddan01,366
366,Paul Ladue\laduepa01,367
367,Patrik Laine\lainepa01,368
368,Anton Lander\landean01,369
369,Gabriel Landeskog\landega01,370
370,Nick Lappin\lappini01,371
371,Dylan Larkin\larkidy01,372
372,Philip Larsen\larseph01,373
373,Adam Larsson\larssad01,374
374,Johan Larsson\larssjo02,375
375,Curtis Lazar\lazarcu01,376
376,Nick Leddy\leddyni01,377
377,Anders Lee\leean01,378
378,Artturi Lehkonen\lehkoar01,379
379,Jori Lehtera\lehtejo01,380
380,Taylor Leier\leierta01,381
381,Josh Leivo\leivojo01,382
382,Kris Letang\letankr01,383
383,Mark Letestu\letesma01,384
384,Trevor Lewis\lewistr01,385
385,John-Michael Liles\lilesjo01,386
386,Oscar Lindberg\lindbos02,387
387,Esa Lindell\lindees01,388
388,Anton Lindholm\lindhan01,389
389,Elias Lindholm\lindhel01,390
390,Hampus Lindholm\lindhha01,391
391,Bryan Little\littlbr01,392
392,Ben Lovejoy\lovejbe01,393
393,Adam Lowry\lowryad01,394
394,Milan Lucic\lucicmi01,395
395,Roman Lyubimov\lyubiro01,396
396,Olli Maatta\maattol01,397
397,Andrew MacDonald\macdoan01,398
398,Derek MacKenzie\mackede01,399
399,Nathan MacKinnon\mackina01,400
400,Denis Malgin\malgide01,401
401,Evgeni Malkin\malkiev01,402
402,Brandon Manning\mannibr01,403
403,Josh Manson\mansojo01,404
404,Anthony Mantha\manthan01,405
405,Brad Marchand\marchbr03,406
406,Alexey Marchenko\marchal01,407
407,Jonathan Marchessault\audymjo01,408
408,Martin Marincin\marinma01,409
409,Andrei Markov\markoan01,410
410,Patrick Marleau\marlepa01,411
411,Mitch Marner\marnemi01,412
412,Pat Maroon\maroopa01,413
413,Matt Martin\martima02,414
414,Paul Martin\martipa01,415
415,Alec Martinez\martial01,416
416,Jordan Martinook\martijo01,417
417,Andreas Martinsen\martian01,418
418,Mike Matheson\mathemi01,419
419,Auston Matthews\matthau01,420
420,Shawn Matthias\matthsh01,421
421,Scott Mayfield\mayfisc01,422
422,Jake McCabe\mccabja01,423
423,Jared McCann\mccanja01,424
424,Michael McCarron\mccarmi01,425
425,Jay McClement\mccleja01,426
426,Connor McDavid\mcdavco01,427
427,Ryan McDonagh\mcdonry01,428
428,Brock McGinn\mcginbr01,429
429,Jamie McGinn\mcginja01,430
430,Greg McKegg\mckeggr01,431
431,Curtis McKenzie\mckencu01,432
432,Cody McLeod\mcleoco01,433
433,Brayden McNabb\mcnabbr01,434
434,Adam McQuaid\mcquaad01,435
435,Jayson Megna\megnaja01,436
436,Timo Meier\meierti01,437
437,Julian Melchiori\melchju01,438
438,Jonathon Merrill\merrijo01,439
439,Marc Methot\methoma01,440
440,Colin Miller\milleco02,441
441,Drew Miller\milledr01,442
442,J.T. Miller\millejt01,443
443,Kevan Miller\milleke03,444
444,John Mitchell\mitchjo01,445
445,Torrey Mitchell\mitchto01,446
446,Zack Mitchell\mitchza01,447
447,Sean Monahan\monahse01,448
448,Brandon Montour\montobr01,449
449,Dominic Moore\mooredo01,450
450,John Moore\moorejo01,451
451,Josh Morrissey\morrijo04,452
452,Joseph Morrow\morrojo02,453
453,Tyler Motte\mottety01,454
454,Matt Moulson\moulsma01,455
455,Connor Murphy\murphco02,456
456,Ryan Murphy\murphry01,457
457,Ryan Murray\murrary01,458
458,Jake Muzzin\muzzija01,459
459,Tyler Myers\myersty01,460
460,Vladislav Namestnikov\namesvl01,461
461,Rick Nash\nashri01,462
462,Riley Nash\nashri02,463
463,James Neal\nealja01,464
464,Chris Neil\neilch01,465
465,Brock Nelson\nelsobr01,466
466,Casey Nelson\nelsoca01,467
467,Patrik Nemeth\nemetpa01,468
468,Nikita Nesterov\nesteni01,469
469,Andrej Nestrasil\nestran01,470
470,Nino Niederreiter\niedeni01,471
471,Frans Nielsen\nielsfr01,472
472,Matthew Nieto\nietoma01,473
473,Matt Niskanen\niskama01,474
474,Stefan Noesen\noesest01,475
475,Nelson Nogier\nogiene01,476
476,Jordan Nolan\nolanjo01,477
477,Joakim Nordstrom\nordsjo02,478
478,Tomas Nosek\nosekto01,479
479,Ryan Nugent-Hopkins\nugenry01,480
480,Darnell Nurse\nurseda01,481
481,Markus Nutivaara\nutivma01,482
482,William Nylander\nylanwi01,483
483,Gustav Nyquist\nyquigu01,484
484,Cal O'Reilly\oreilca01,485
485,Ryan O'Reilly\oreilry01,486
486,Johnny Oduya\oduyajo01,487
487,Kyle Okposo\okposky01,488
488,Jamie Oleksiak\oleksja01,489
489,Steven Oleksy\oleksst01,490
490,Gustav Olofsson\olofsgu01,491
491,Dmitry Orlov\orlovdm01,492
492,Brooks Orpik\orpikbr01,493
493,T.J. Oshie\oshietj01,494
494,Steve Ott\ottst01,495
495,Xavier Ouellet\ouellxa01,496
496,Alex Ovechkin\ovechal01,497
497,Magnus Paajarvi\paajama01,498
498,Max Pacioretty\pacioma01,499
499,Jean-Gabriel Pageau\pageaje01,500
500,Iiro Pakarinen\pakarii01,501
501,Ondrej Palat\palaton01,502
502,Kyle Palmieri\palmiky01,503
503,Artemi Panarin\panarar01,504
504,Richard Panik\panikri01,505
505,Cedric Paquette\paquece01,506
506,Colton Parayko\parayco01,507
507,P.A. Parenteau\parenpi01,508
508,Zach Parise\parisza01,509
509,David Pastrnak\pastrda01,510
510,Greg Pateryn\patergr01,511
511,Joe Pavelski\paveljo01,512
512,Tanner Pearson\pearsta01,513
513,Matthew Peca\pecama01,514
514,Adam Pelech\pelecad01,515
515,Brendan Perlini\perlibr01,516
516,Mathieu Perreault\perrema01,517
517,David Perron\perroda01,518
518,Corey Perry\perryco01,519
