,Player,Age,Team,Position,Games Played,Goals,Assists,PTS,+/-,PIM,Point Share,Even Strength Goals,PPG,SHG,GWG,Shots,S%,TOI,ATOI,BLK,HIT,FOW,FO%,Season
182,Danny DeKeyser\dekeyda01,29,DET,D,8,0,4,4,0,4,0.7,0,0,0,0,12,0.0,176,22:04,18,6,0,,2019-20
183,Michael Del Zotto\delzomi01,29,ANA,D,49,2,13,15,5,14,3.1,2,0,0,0,57,3.5,917,18:43,55,101,0,,2019-20
184,Dylan DeMelo\demeldy01,26,TOT,D,59,0,10,10,4,37,2.2,0,0,0,0,74,0.0,1188,20:09,77,105,0,,2019-20
185,Jason Demers\demerja01,31,ARI,D,50,0,11,11,5,25,2.8,0,0,0,0,53,0.0,1025,20:30,70,76,0,,2019-20
186,Travis Dermott\dermotr01,23,TOR,D,56,4,7,11,14,37,2.9,4,0,0,1,65,6.2,969,17:19,58,76,0,,2019-20
187,Nicolas Deslauriers\deslani01,28,ANA,LW,59,7,6,13,-1,92,1.1,7,0,0,1,64,10.9,577,9:47,32,137,0,,2019-20
188,Phillip Di Giuseppe\digiuph01,26,NYR,LW,20,1,3,4,1,2,0.1,1,0,0,0,35,2.9,226,11:17,20,38,0,0.0,2019-20
189,Thomas Di Pauli\dipauth01,25,PIT,C,2,0,0,0,-3,10,-0.1,0,0,0,0,2,0.0,12,5:59,1,4,0,,2019-20
190,Jason Dickinson\dickija01,24,DAL,C,65,9,12,21,7,6,1.9,9,0,0,1,85,10.6,973,14:59,55,89,196,43.8,2019-20
191,Brenden Dillon\dillobr01,29,TOT,D,69,1,13,14,-2,104,3.1,1,0,0,0,58,1.7,1343,19:27,74,194,0,,2019-20
192,Christian Djoos\djoosch01,25,TOT,D,11,1,2,3,3,0,0.8,1,0,0,0,13,7.7,210,19:06,12,2,0,,2019-20
193,Noah Dobson\dobsono01,20,NYI,D,34,1,6,7,-1,8,1.2,1,0,0,0,37,2.7,451,13:17,31,25,0,,2019-20
194,Max Domi\domima01,24,MTL,LW,71,17,27,44,-3,35,4.2,16,1,0,3,179,9.5,1214,17:06,13,32,385,48.9,2019-20
195,Ryan Donato\donatry01,23,MIN,C,62,14,9,23,5,12,2.8,14,0,0,1,95,14.7,659,10:38,14,53,40,39.2,2019-20
196,Joonas Donskoi\donskjo01,27,COL,RW,65,16,17,33,2,26,3.1,12,4,0,2,111,14.4,1056,16:15,38,25,9,42.9,2019-20
197,Drew Doughty\doughdr01,30,LAK,D,67,7,28,35,-16,36,5.4,2,5,0,2,141,5.0,1730,25:49,87,106,0,,2019-20
198,Nic Dowd\dowdni01,29,WSH,C,56,7,8,15,11,28,1.5,4,0,3,1,52,13.5,607,10:50,26,117,274,49.7,2019-20
199,Justin Dowling\dowliju01,29,DAL,C,29,3,3,6,-3,8,0.4,3,0,0,1,29,10.3,318,10:57,12,25,42,43.8,2019-20
200,Leon Draisaitl\draisle01,24,EDM,C,71,43,67,110,-7,18,12.8,27,16,0,10,218,19.7,1605,22:37,19,27,662,52.1,2019-20
201,Sheldon Dries\driessh01,25,COL,C,5,0,0,0,-2,0,-0.1,0,0,0,0,2,0.0,34,6:52,2,16,4,66.7,2019-20
202,Jonathan Drouin\drouijo01,24,MTL,LW,27,7,8,15,-6,14,1.4,6,1,0,1,51,13.7,424,15:42,5,25,4,33.3,2019-20
203,Dillon Dube\dubedi01,21,CGY,C,45,6,10,16,0,6,1.4,5,1,0,2,60,10.0,571,12:41,13,59,0,0.0,2019-20
204,Pierre-Luc Dubois\duboipi01,21,CBJ,LW,70,18,31,49,-2,49,5.0,17,1,0,4,158,11.4,1255,17:56,50,85,359,44.6,2019-20
205,Matt Duchene\duchema01,29,NSH,C,66,13,29,42,-4,24,3.5,8,5,0,1,136,9.6,1114,16:53,22,40,390,56.1,2019-20
206,Anthony Duclair\duclaan01,24,OTT,LW,66,23,17,40,-5,18,4.5,16,5,2,2,184,12.5,1073,16:16,39,53,3,50.0,2019-20
207,Mathew Dumba\dumbama01,25,MIN,D,69,6,18,24,-7,41,3.6,5,1,0,1,167,3.6,1552,22:30,88,98,0,,2019-20
208,Gabriel Dumont\dumonga01,29,MIN,C,3,0,0,0,-1,0,-0.1,0,0,0,0,3,0.0,35,11:30,2,9,6,40.0,2019-20
209,Brian Dumoulin\dumoubr01,28,PIT,D,28,1,7,8,17,10,2.7,0,0,1,0,35,2.9,590,21:03,35,44,0,,2019-20
210,Vince Dunn\dunnvi02,23,STL,D,71,9,14,23,15,27,5.3,5,4,0,1,138,6.5,1155,16:16,47,50,0,,2019-20
211,Christian Dvorak\dvorach01,23,ARI,C,70,18,20,38,6,12,4.3,12,6,0,2,134,13.4,1169,16:42,36,39,523,55.1,2019-20
212,Ryan Dzingel\dzingry01,27,CAR,C,64,8,21,29,3,30,2.3,4,4,0,1,98,8.2,906,14:09,25,36,9,31.0,2019-20
213,Cody Eakin\eakinco01,28,TOT,C,49,5,10,15,-3,16,0.7,5,0,0,1,61,8.2,714,14:35,16,49,311,48.5,2019-20
214,Jordan Eberle\eberljo01,29,NYI,RW,58,16,24,40,1,12,4.1,12,4,0,1,136,11.8,1033,17:49,39,37,3,33.3,2019-20
215,Alexander Edler\edleral01,33,VAN,D,59,5,28,33,13,62,5.8,4,1,0,1,118,4.2,1334,22:37,162,108,0,,2019-20
216,Joel Edmundson\edmunjo01,26,CAR,D,68,7,13,20,7,72,4.3,7,0,0,0,97,7.2,1255,18:27,91,118,0,,2019-20
217,Nikolaj Ehlers\ehlerni01,23,WPG,LW,71,25,33,58,14,30,6.8,21,3,1,5,203,12.3,1173,16:31,28,36,0,0.0,2019-20
218,Christoffer Ehn\ehnch01,23,DET,C,54,2,2,4,-21,2,-0.9,2,0,0,0,36,5.6,562,10:25,18,59,96,42.5,2019-20
219,Jack Eichel\eicheja01,23,BUF,C,68,36,42,78,5,34,9.5,24,11,1,9,227,15.9,1503,22:06,42,40,615,46.9,2019-20
220,Aaron Ekblad\ekblaaa01,23,FLA,D,67,5,36,41,12,26,6.2,5,0,0,1,147,3.4,1539,22:59,84,34,0,,2019-20
221,Mattias Ekholm\ekholma01,29,NSH,D,68,8,25,33,-1,32,4.9,7,0,1,2,154,5.2,1589,23:22,100,49,0,,2019-20
222,Oliver Ekman-Larsson\ekmanol01,28,ARI,D,66,9,21,30,-3,38,5.7,6,2,1,1,135,6.7,1519,23:01,65,129,0,,2019-20
223,Lars Eller\ellerla01,30,WSH,C,69,16,23,39,3,48,3.6,13,2,1,1,151,10.6,1174,17:01,44,59,536,51.9,2019-20
224,Ryan Ellis\ellisry01,29,NSH,D,49,8,30,38,16,19,6.5,6,2,0,3,114,7.0,1152,23:30,96,48,0,,2019-20
225,Deryk Engelland\engelde01,37,VEG,D,49,1,5,6,6,37,1.8,1,0,0,1,59,1.7,860,17:33,86,114,0,,2019-20
226,Andreas Englund\engluan01,24,OTT,D,24,0,3,3,-8,12,-0.1,0,0,0,0,10,0.0,262,10:54,16,58,0,,2019-20
227,Pierre Engvall\engvapi01,23,TOR,LW,48,8,7,15,4,6,1.4,7,0,1,3,72,11.1,573,11:56,10,29,41,39.0,2019-20
228,Tyler Ennis\ennisty01,30,TOT,C,70,16,21,37,-6,20,3.5,11,5,0,1,159,10.1,1030,14:43,26,96,7,46.7,2019-20
229,Jonathan Ericsson\ericsjo01,35,DET,D,18,0,0,0,-12,4,-0.5,0,0,0,0,16,0.0,256,14:15,14,24,0,,2019-20
230,Loui Eriksson\erikslo01,34,VAN,LW,49,6,7,13,-2,12,0.8,6,0,0,0,59,10.2,606,12:22,15,10,2,100.0,2019-20
231,Joel Eriksson Ek\eriksjo02,23,MIN,C,62,8,21,29,7,22,2.3,7,1,0,4,102,7.8,974,15:43,43,93,367,46.2,2019-20
232,Adam Erne\ernead01,24,DET,LW,56,2,3,5,-24,28,-1.0,2,0,0,0,63,3.2,662,11:49,25,142,20,60.6,2019-20
233,Jake Evans\evansja02,23,MTL,C,13,2,1,3,1,0,0.3,2,0,0,0,14,14.3,135,10:21,5,16,29,51.8,2019-20
234,Robby Fabbri\fabbrro01,24,TOT,C,61,15,17,32,-33,20,2.2,9,6,0,3,111,13.5,985,16:09,14,75,27,40.3,2019-20
235,Dante Fabbro\fabbrda01,21,NSH,D,64,5,6,11,-7,38,1.7,4,1,0,0,92,5.4,1218,19:02,85,54,0,,2019-20
236,Radek Faksa\faksara01,26,DAL,C,66,11,9,20,-6,42,1.4,8,3,0,3,109,10.1,1049,15:53,44,84,404,49.8,2019-20
237,Oscar Fantenberg\fanteos01,28,VAN,D,36,1,5,6,-10,6,0.4,1,0,0,0,45,2.2,573,15:55,62,67,0,,2019-20
238,Joel Farabee\farabjo01,19,PHI,LW,52,8,13,21,6,39,1.9,7,1,0,1,81,9.9,733,14:06,18,31,3,30.0,2019-20
239,Jesper Fast\fastje01,28,NYR,RW,69,12,17,29,16,20,2.5,10,0,2,1,84,14.3,1146,16:36,53,125,9,34.6,2019-20
240,Justin Faulk\faulkju01,27,STL,D,69,5,11,16,-3,32,3.0,4,1,0,1,147,3.4,1419,20:34,76,82,0,,2019-20
241,Taylor Fedun\fedunta01,31,DAL,D,27,2,7,9,3,8,1.9,2,0,0,0,40,5.0,371,13:45,19,16,0,,2019-20
242,Martin Fehervary\feherma01,20,WSH,D,6,0,1,1,-2,6,0.0,0,0,0,0,7,0.0,96,15:59,2,14,0,,2019-20
243,Micheal Ferland\ferlami01,27,VAN,LW,14,1,4,5,-3,7,0.2,1,0,0,0,15,6.7,137,9:48,2,40,2,100.0,2019-20
244,Mario Ferraro\ferrama01,21,SJS,D,61,2,9,11,-15,30,1.6,2,0,0,0,63,3.2,969,15:53,58,120,0,,2019-20
245,Kevin Fiala\fialake01,23,MIN,LW,64,23,31,54,-1,42,6.0,14,9,0,4,175,13.1,986,15:24,18,25,2,22.2,2019-20
246,Valtteri Filppula\filppva01,35,DET,C,70,6,15,21,-42,24,-0.4,4,1,1,0,63,9.5,1163,16:37,31,28,324,44.9,2019-20
247,Christian Fischer\fischch01,22,ARI,RW,56,6,3,9,2,16,0.7,6,0,0,1,83,7.2,617,11:01,22,140,3,27.3,2019-20
248,Cale Fleury\fleurca01,21,MTL,D,41,1,0,1,-4,6,0.4,1,0,0,0,45,2.2,588,14:21,45,102,0,,2019-20
249,Haydn Fleury\fleurha01,23,CAR,D,45,4,10,14,-2,8,2.2,4,0,0,0,65,6.2,615,13:40,45,48,0,,2019-20
250,Warren Foegele\foegewa01,23,CAR,LW,68,13,17,30,9,34,3.1,10,0,3,1,129,10.1,932,13:43,17,64,18,46.2,2019-20
251,Steven Fogarty\fogarst01,26,NYR,C,7,0,0,0,-1,0,-0.1,0,0,0,0,2,0.0,41,5:53,4,4,6,66.7,2019-20
252,Marcus Foligno\foligma01,28,MIN,LW,59,11,14,25,8,30,2.4,11,0,0,0,86,12.8,861,14:35,36,184,9,37.5,2019-20
253,Nick Foligno\foligni01,32,CBJ,LW,67,10,21,31,-3,62,2.3,8,2,0,1,131,7.6,1251,18:40,50,212,159,49.8,2019-20
254,Christian Folin\folinch01,28,MTL,D,16,1,1,2,-1,13,0.4,1,0,0,0,13,7.7,231,14:26,21,38,0,,2019-20
255,Derek Forbort\forbode01,27,TOT,D,20,0,1,1,-5,4,0.2,0,0,0,0,22,0.0,356,17:49,30,35,0,,2019-20
256,Filip Forsberg\forsbfi01,25,NSH,C,63,21,27,48,-7,29,4.8,14,7,0,2,198,10.6,1093,17:21,27,82,1,33.3,2019-20
257,Liam Foudy\foudyli01,19,CBJ,C,2,0,1,1,1,0,0.1,0,0,0,0,3,0.0,28,14:13,0,3,0,,2019-20
258,Cam Fowler\fowleca01,28,ANA,D,59,9,20,29,0,20,5.3,7,2,0,2,117,7.7,1297,21:59,58,25,0,,2019-20
259,Adam Fox\foxad01,21,NYR,D,70,8,34,42,22,32,7.4,7,1,0,4,125,6.4,1323,18:54,92,35,0,,2019-20
260,Trent Frederic\fredetr01,21,BOS,C,2,0,0,0,-1,0,-0.1,0,0,0,0,1,0.0,13,6:26,0,8,0,,2019-20
261,Mark Friedman\friedma01,24,PHI,D,6,0,1,1,0,2,0.2,0,0,0,0,2,0.0,82,13:35,5,8,0,,2019-20
262,Martin Frk\frkma01,26,LAK,RW,17,6,2,8,-1,4,1.0,5,1,0,1,26,23.1,235,13:50,3,14,0,,2019-20
263,Michael Frolik\frolimi01,31,TOT,LW,57,6,8,14,-12,28,0.5,4,0,2,1,70,8.6,709,12:26,22,32,6,28.6,2019-20
264,Morgan Frost\frostmo01,20,PHI,C,20,2,5,7,-3,4,0.3,1,0,1,0,31,6.5,274,13:41,4,4,44,47.3,2019-20
265,Sam Gagner\gagnesa01,30,TOT,C,42,6,7,13,-10,12,0.7,4,2,0,0,79,7.6,561,13:21,10,22,45,44.1,2019-20
266,Alex Galchenyuk\galchal01,25,TOT,C,59,8,16,24,-5,16,1.8,6,2,0,0,86,9.3,726,12:18,17,52,67,51.1,2019-20
267,Brendan Gallagher\gallabr01,27,MTL,RW,59,22,21,43,9,29,5.5,21,1,0,1,226,9.7,998,16:55,29,53,12,41.4,2019-20
268,Dylan Gambrell\gambrdy01,23,SJS,C,50,5,6,11,-8,17,0.5,5,0,0,1,43,11.6,598,11:57,29,40,170,45.9,2019-20
269,Jake Gardiner\gardija01,29,CAR,D,68,4,20,24,-24,30,2.0,3,1,0,2,87,4.6,1133,16:40,42,43,0,,2019-20
270,Rhett Gardner\gardnrh01,23,DAL,C,8,0,0,0,0,2,-0.1,0,0,0,0,8,0.0,81,10:08,2,8,25,47.2,2019-20
271,Conor Garland\garlaco01,23,ARI,RW,68,22,17,39,1,20,4.9,18,4,0,5,158,13.9,962,14:09,20,26,4,36.4,2019-20
272,Adam Gaudette\gaudead01,23,VAN,C,59,12,21,33,-7,37,3.0,8,4,0,1,75,16.0,731,12:23,20,29,187,41.2,2019-20
273,Johnny Gaudreau\gaudrjo01,26,CGY,LW,70,18,40,58,-10,12,5.4,12,6,0,2,209,8.6,1315,18:47,11,1,1,25.0,2019-20
274,Brendan Gaunce\gauncbr01,25,BOS,C,1,0,1,1,1,2,0.1,0,0,0,0,0,,9,9:10,0,2,0,0.0,2019-20
275,Cameron Gaunce\gauncca01,29,TBL,D,3,1,3,4,2,4,0.7,1,0,0,0,5,20.0,36,11:52,2,5,0,,2019-20
276,Frederik Gauthier\gauthfr01,24,TOR,C,61,7,5,12,-4,10,0.7,7,0,0,0,42,16.7,573,9:23,23,66,208,54.7,2019-20
277,Julien Gauthier\gauthju01,22,TOT,RW,17,0,3,3,1,8,0.1,0,0,0,0,10,0.0,141,8:17,7,15,1,33.3,2019-20
278,Vladislav Gavrikov\gavrivl01,24,CBJ,D,69,5,13,18,1,18,4.3,5,0,0,1,81,6.2,1310,18:59,92,79,0,,2019-20
279,Morgan Geekie\geekimo01,21,CAR,C,2,3,1,4,3,2,0.8,3,0,0,0,4,75.0,24,11:47,4,1,12,54.5,2019-20
280,Nathan Gerbe\gerbena01,32,CBJ,C,30,4,6,10,-7,22,0.6,4,0,0,0,55,7.3,413,13:45,8,46,6,50.0,2019-20
281,Timothy Gettinger\gettiti01,21,NYR,LW,2,0,1,1,1,0,0.1,0,0,0,0,3,0.0,17,8:23,1,5,0,0.0,2019-20
282,Ryan Getzlaf\getzlry01,34,ANA,C,69,13,29,42,-16,58,3.1,10,3,0,5,143,9.1,1292,18:44,69,125,530,51.3,2019-20
283,Brian Gibbons\gibbobr02,31,CAR,C,15,0,0,0,-7,4,-0.5,0,0,0,0,9,0.0,146,9:46,9,7,0,,2019-20
284,Dennis Gilbert\gilbede01,23,CHI,D,21,1,2,3,-8,38,0.0,1,0,0,0,12,8.3,330,15:42,33,74,0,,2019-20
285,John Gilmour\gilmojo01,26,BUF,D,4,0,0,0,-2,0,-0.1,0,0,0,0,5,0.0,68,17:03,3,3,0,,2019-20
286,Mark Giordano\giordma01,36,CGY,D,60,5,26,31,2,34,5.4,3,2,0,0,157,3.2,1433,23:53,148,42,0,,2019-20
287,Samuel Girard\girarsa01,21,COL,D,70,4,30,34,1,17,4.6,3,1,0,1,96,4.2,1492,21:19,92,46,0,,2019-20
288,Zemgus Girgensons\girgeze01,26,BUF,C,69,12,7,19,-1,10,1.6,11,0,1,1,85,14.1,952,13:48,20,110,30,41.1,2019-20
289,Claude Giroux\giroucl01,32,PHI,C,69,21,32,53,7,28,5.5,13,7,1,6,197,10.7,1310,18:59,16,45,663,59.0,2019-20
290,Cody Glass\glassco01,20,VEG,C,39,5,7,12,-7,6,0.6,4,1,0,1,51,9.8,521,13:22,6,15,60,42.0,2019-20
291,Luke Glendening\glendlu01,30,DET,C,60,6,3,9,-29,14,-0.8,5,0,1,1,76,7.9,921,15:21,68,147,393,56.1,2019-20
292,Nikolay Goldobin\goldoni01,24,VAN,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,,9,8:37,0,1,0,,2019-20
293,Alex Goligoski\goligal01,34,ARI,D,70,4,28,32,8,24,6.4,2,2,0,0,101,4.0,1614,23:03,134,91,0,,2019-20
294,Cody Goloubef\golouco01,30,TOT,D,26,1,1,2,-3,8,0.4,1,0,0,0,18,5.6,395,15:11,24,45,0,,2019-20
295,Barclay Goodrow\goodrba01,26,TOT,RW,70,8,18,26,-8,97,1.5,8,0,0,2,102,7.8,1115,15:56,66,162,393,49.2,2019-20
296,Shayne Gostisbehere\gostish01,26,PHI,D,42,5,7,12,-4,20,2.0,4,1,0,1,73,6.8,768,18:18,37,14,0,,2019-20
297,Yanni Gourde\gourdya01,28,TBL,C,70,10,20,30,-5,49,2.0,7,1,2,5,110,9.1,985,14:04,20,78,93,54.1,2019-20
298,Michael Grabner\grabnmi01,32,ARI,RW,46,8,3,11,-4,6,1.0,7,0,1,0,61,13.1,569,12:22,12,21,0,0.0,2019-20
299,Markus Granlund\granlma01,26,EDM,C,34,3,1,4,-1,14,0.1,3,0,0,1,26,11.5,368,10:50,18,15,25,43.9,2019-20
300,Mikael Granlund\granlmi01,27,NSH,C,63,17,13,30,-4,28,2.6,12,4,1,4,130,13.1,1122,17:48,55,42,73,48.7,2019-20
301,Derek Grant\grantde01,29,TOT,C,56,15,10,25,1,30,2.9,10,2,3,5,94,16.0,779,13:55,25,54,358,51.6,2019-20
302,Tyler Graovac\graovty01,26,VAN,C,8,2,0,2,-2,2,0.2,0,2,0,0,5,40.0,50,6:16,3,6,8,36.4,2019-20
303,Kevin Gravel\graveke01,27,TOR,D,3,0,0,0,0,0,0.0,0,0,0,0,2,0.0,33,11:05,3,2,0,,2019-20
304,Ryan Graves\gravery01,24,COL,D,69,9,17,26,40,45,7.2,9,0,0,0,134,6.7,1307,18:57,150,112,0,,2019-20
305,Mike Green\greenmi03,34,TOT,D,50,3,8,11,-34,32,0.5,2,1,0,1,76,3.9,1044,20:53,66,61,0,,2019-20
306,Andy Greene\greenan01,37,TOT,D,63,2,12,14,1,16,3.2,2,0,0,0,60,3.3,1231,19:33,155,30,0,,2019-20
307,Jordan Greenway\greenjo02,22,MIN,LW,67,8,20,28,2,54,2.0,8,0,0,1,93,8.6,949,14:10,44,95,15,55.6,2019-20
308,Noah Gregor\gregono01,21,SJS,C,28,3,2,5,-5,8,0.2,2,1,0,0,33,9.1,282,10:04,6,50,6,31.6,2019-20
309,Rocco Grimaldi\grimaro01,26,NSH,C,66,10,21,31,10,10,3.1,10,0,0,1,122,8.2,835,12:39,14,23,1,16.7,2019-20
310,Jordan Gross\grossjo01,24,ARI,D,2,0,1,1,2,0,0.3,0,0,0,0,3,0.0,32,16:11,1,0,0,,2019-20
311,Carl Grundstrom\grundca01,22,LAK,RW,13,0,4,4,2,8,0.2,0,0,0,0,16,0.0,166,12:46,4,29,0,,2019-20
312,Matt Grzelcyk\grzelma01,26,BOS,D,68,4,17,21,15,34,4.7,3,1,0,1,112,3.6,1228,18:04,67,56,0,,2019-20
313,Radko Gudas\gudasra01,29,WSH,D,63,2,13,15,15,40,3.2,2,0,0,1,90,2.2,1054,16:44,75,164,0,,2019-20
314,Erik Gudbranson\gudbrer01,28,TOT,D,51,4,5,9,0,95,2.4,4,0,0,0,78,5.1,988,19:22,58,89,0,,2019-20
315,Jake Guentzel\guentja01,25,PIT,C,39,20,23,43,11,14,5.5,14,6,0,4,127,15.7,805,20:38,19,46,22,47.8,2019-20
316,Brendan Guhle\guhlebr01,22,ANA,D,30,4,4,8,-2,10,1.6,4,0,0,1,39,10.3,512,17:04,43,21,0,,2019-20
317,Carl Gunnarsson\gunnaca01,33,STL,D,36,2,5,7,8,16,2.0,2,0,0,0,31,6.5,568,15:47,51,27,0,,2019-20
318,Denis Gurianov\guriade01,22,DAL,RW,64,20,9,29,5,13,4.0,13,7,0,4,132,15.2,831,12:59,18,63,0,,2019-20
319,Nikita Gusev\gusevni01,27,NJD,LW,66,13,31,44,-15,12,3.8,8,5,0,2,158,8.2,970,14:42,7,12,1,33.3,2019-20
320,David Gustafsson\gustada01,19,WPG,C,22,1,0,1,-2,0,-0.1,1,0,0,1,4,25.0,135,6:09,6,5,34,54.0,2019-20
321,Erik Gustafsson\gustaer02,27,TOT,D,66,6,23,29,-9,27,3.9,4,2,0,0,103,5.8,1345,20:23,58,86,0,,2019-20
322,Gaetan Haas\haasga01,28,EDM,F,58,5,5,10,-1,6,0.6,5,0,0,0,54,9.3,562,9:42,28,58,172,42.2,2019-20
323,Brandon Hagel\hagelbr01,21,CHI,LW,1,0,0,0,0,0,0.0,0,0,0,0,4,0.0,12,11:48,1,1,0,,2019-20
324,Carl Hagelin\hagelca01,31,WSH,LW,58,8,17,25,12,16,2.3,7,0,1,2,107,7.5,831,14:19,19,24,13,46.4,2019-20
325,Robert Hagg\haggro01,24,PHI,D,49,3,10,13,14,30,3.3,2,1,0,0,38,7.9,764,15:36,79,136,0,,2019-20
326,Nicolas Hague\hagueni01,21,VEG,D,38,1,10,11,0,32,1.7,0,1,0,0,54,1.9,611,16:05,26,69,0,,2019-20
327,Ron Hainsey\hainsro01,38,OTT,D,64,1,11,12,10,12,3.1,1,0,0,1,43,2.3,1324,20:41,102,51,0,,2019-20
328,Libor Hajek\hajekli01,21,NYR,D,28,0,5,5,-4,12,0.4,0,0,0,0,23,0.0,448,15:59,44,24,0,,2019-20
329,Jani Hakanpaa\hakanja01,27,ANA,D,5,1,0,1,1,2,0.4,1,0,0,0,4,25.0,91,18:07,7,15,0,,2019-20
330,Micheal Haley\haleymi01,33,NYR,C,22,1,0,1,-7,50,-0.3,1,0,0,0,9,11.1,122,5:32,6,36,7,58.3,2019-20
331,Taylor Hall\hallta02,28,TOT,LW,65,16,36,52,-14,34,4.6,12,4,0,1,232,6.9,1246,19:10,29,47,20,39.2,2019-20
332,Dan Hamhuis\hamhuda01,37,NSH,D,60,0,8,8,6,35,1.7,0,0,0,0,44,0.0,871,14:31,53,64,0,,2019-20
333,Dougie Hamilton\hamildo01,26,CAR,D,47,14,26,40,30,32,8.6,12,2,0,3,170,8.2,1094,23:17,63,52,0,,2019-20
334,Travis Hamonic\hamontr01,29,CGY,D,50,3,9,12,-3,27,2.5,3,0,0,0,83,3.6,1060,21:12,110,39,0,,2019-20
335,Noah Hanifin\hanifno01,23,CGY,D,70,5,17,22,-12,12,3.5,4,1,0,0,132,3.8,1482,21:10,89,82,0,,2019-20
336,Joel Hanley\hanlejo01,28,DAL,D,8,0,2,2,0,6,0.3,0,0,0,0,4,0.0,91,11:21,8,3,0,,2019-20
337,Jansen Harkins\harkija01,22,WPG,C,29,2,5,7,-2,5,0.3,2,0,0,0,29,6.9,308,10:37,10,8,0,0.0,2019-20
338,Scott Harrington\harrisc01,26,CBJ,D,39,1,7,8,-3,16,1.5,1,0,0,0,37,2.7,544,13:57,48,46,0,,2019-20
339,Ryan Hartman\hartmry01,25,MIN,RW,69,9,11,20,4,69,1.6,8,1,0,1,114,7.9,846,12:15,54,44,83,54.6,2019-20
340,Garnet Hathaway\hathaga01,28,WSH,RW,66,9,7,16,6,79,1.5,9,0,0,1,80,11.3,711,10:47,46,189,9,31.0,2019-20
341,Erik Haula\haulaer01,28,TOT,LW,48,12,12,24,1,22,2.4,8,4,0,2,92,13.0,760,15:50,15,27,381,54.1,2019-20
342,Jayce Hawryluk\hawryja01,24,TOT,C,26,3,7,10,1,16,0.9,3,0,0,0,26,11.5,288,11:06,9,65,4,33.3,2019-20
343,John Hayden\haydejo01,24,NJD,C,43,3,1,4,-2,77,0.0,3,0,0,1,39,7.7,418,9:43,27,87,4,21.1,2019-20
344,Kevin Hayes\hayeske01,27,PHI,RW,69,23,18,41,-6,34,4.1,15,4,4,5,175,13.1,1223,17:44,22,88,415,50.2,2019-20
345,Barrett Hayton\haytoba01,19,ARI,C,20,1,3,4,2,14,0.3,1,0,0,1,27,3.7,223,11:09,3,14,23,37.7,2019-20
346,Victor Hedman\hedmavi01,29,TBL,D,66,11,44,55,27,31,9.5,7,4,0,3,155,7.1,1588,24:04,98,73,0,,2019-20
347,Tim Heed\heedti01,29,SJS,D,38,1,4,5,-10,2,0.6,1,0,0,0,44,2.3,494,13:00,30,16,0,0.0,2019-20
348,Danton Heinen\heineda01,24,TOT,C,67,10,16,26,-2,10,2.1,7,3,0,2,109,9.2,969,14:28,34,35,5,38.5,2019-20
349,Ville Heinola\heinovi01,18,WPG,D,8,1,4,5,3,4,1.0,1,0,0,0,10,10.0,145,18:04,5,3,0,,2019-20
350,Miro Heiskanen\heiskmi01,20,DAL,D,68,8,27,35,14,12,7.8,8,0,0,0,163,4.9,1616,23:46,84,40,0,,2019-20
351,Darren Helm\helmda01,33,DET,C,68,9,7,16,-6,37,1.1,8,0,1,0,102,8.8,934,13:44,26,88,15,53.6,2019-20
352,Adam Henrique\henriad01,29,ANA,C,71,26,17,43,-3,22,5.2,21,5,0,1,169,15.4,1198,16:52,32,75,512,55.0,2019-20
353,Tomas Hertl\hertlto01,26,SJS,C,48,16,20,36,-18,16,3.3,12,2,2,1,117,13.7,885,18:27,25,29,433,54.8,2019-20
354,Joe Hicketts\hickejo01,23,DET,D,6,0,2,2,-5,2,0.0,0,0,0,0,6,0.0,110,18:17,13,14,0,,2019-20
355,Matthew Highmore\highmma01,23,CHI,LW,36,2,4,6,-1,6,0.2,2,0,0,0,35,5.7,353,9:49,9,38,1,25.0,2019-20
356,Vinnie Hinostroza\hinosvi01,25,ARI,C,68,5,17,22,1,14,1.5,5,0,0,0,132,3.8,891,13:06,26,51,26,42.6,2019-20
357,Roope Hintz\hintzro01,23,DAL,LW,60,19,14,33,3,16,4.2,14,3,2,5,120,15.8,885,14:45,28,73,172,49.9,2019-20
358,Taro Hirose\hirosta01,23,DET,LW,26,2,5,7,-12,6,0.0,2,0,0,0,21,9.5,326,12:33,16,13,0,0.0,2019-20
359,Nico Hischier\hischni01,21,NJD,C,58,14,22,36,-16,12,2.9,11,2,1,1,123,11.4,1048,18:04,37,48,507,51.7,2019-20
360,Niklas Hjalmarsson\hjalmni01,32,ARI,D,27,1,4,5,-2,14,1.1,1,0,0,0,18,5.6,507,18:46,45,20,0,,2019-20
361,Mike Hoffman\hoffmmi02,30,FLA,C,69,29,30,59,-5,28,6.6,18,11,0,3,214,13.6,1162,16:50,22,33,7,46.7,2019-20
362,Nick Holden\holdeni01,32,VEG,D,61,6,8,14,-1,13,2.8,5,1,0,0,101,5.9,1150,18:51,74,129,0,,2019-20
363,Justin Holl\hollju01,28,TOR,D,68,2,16,18,13,43,3.5,2,0,0,0,89,2.2,1259,18:31,83,89,0,,2019-20
364,Korbinian Holzer\holzeko01,31,TOT,D,49,1,3,4,-2,37,1.2,1,0,0,0,39,2.6,786,16:02,96,97,0,,2019-20
